Tanggal,Tavg
26-08-2023,27.5
27-08-2023,27.9
28-08-2023,27.1
29-08-2023,27.3
30-08-2023,28.3
31-08-2023,28.2
01-09-2023,27.6
02-09-2023,28.4
03-09-2023,28.5
04-09-2023,28.7
05-09-2023,28.7
06-09-2023,26.5
07-09-2023,28.1
08-09-2023,28.6
09-09-2023,26.4
10-09-2023,26.2
11-09-2023,28.1
12-09-2023,28.4
13-09-2023,28.1
14-09-2023,27.8
15-09-2023,28.6
16-09-2023,28.7
17-09-2023,28.9
18-09-2023,27.1
19-09-2023,28.1
20-09-2023,26.7
21-09-2023,27.9
22-09-2023,26.7
23-09-2023,27.8
24-09-2023,25.4
25-09-2023,27.6
26-09-2023,27.8
27-09-2023,28.1
28-09-2023,28.2
29-09-2023,27.9
30-09-2023,26.4
01-10-2023,26.7
02-10-2023,28.2
03-10-2023,26
04-10-2023,28
05-10-2023,28.5
06-10-2023,28.7
07-10-2023,28.2
08-10-2023,28.2
09-10-2023,28
10-10-2023,27.5
11-10-2023,27.1
12-10-2023,28.2
13-10-2023,28.1
14-10-2023,28.5
15-10-2023,28.9
16-10-2023,28.3
17-10-2023,29.2
18-10-2023,27.4
19-10-2023,28.3
20-10-2023,26.9
21-10-2023,26.7
22-10-2023,27
23-10-2023,26.4
24-10-2023,26.8
25-10-2023,27
26-10-2023,27.7
27-10-2023,27.7
28-10-2023,26.1
29-10-2023,27.2
30-10-2023,26.7
31-10-2023,27.9
01-11-2023,26.3
02-11-2023,27.5
03-11-2023,27.7
04-11-2023,27.9
05-11-2023,26.9
06-11-2023,26.5
07-11-2023,26.5
08-11-2023,24.9
09-11-2023,26.7
10-11-2023,27
11-11-2023,28.3
12-11-2023,26.2
13-11-2023,28.1
14-11-2023,26.1
15-11-2023,27.6
16-11-2023,27
17-11-2023,26.8
18-11-2023,28.4
19-11-2023,26.8
20-11-2023,27.9
21-11-2023,26.6
22-11-2023,25.7
23-11-2023,27
24-11-2023,27.7
25-11-2023,25.9
26-11-2023,26.2
27-11-2023,25.6
28-11-2023,27.2
29-11-2023,26.6
30-11-2023,25.9
01-12-2023,25.5
02-12-2023,26.5
03-12-2023,26.3
04-12-2023,26
05-12-2023,26.8
06-12-2023,26.2
07-12-2023,27.7
08-12-2023,28.1
09-12-2023,26.8
10-12-2023,26.6
11-12-2023,26.9
12-12-2023,26.3
13-12-2023,26.9
14-12-2023,26.6
15-12-2023,27.4
16-12-2023,27.7
17-12-2023,27.7
18-12-2023,26.7
19-12-2023,26.6
20-12-2023,27.2
21-12-2023,26.8
22-12-2023,27
23-12-2023,26
24-12-2023,27.4
25-12-2023,27.5
26-12-2023,26.8
27-12-2023,25.3
28-12-2023,25.7
29-12-2023,27.3
30-12-2023,27.4
31-12-2023,26.1
